cell_id,UMAP_1,UMAP_2
Cell_211,4.5852,0.4432
Cell_212,5.2868,-0.4526
Cell_213,5.0384,0.4074
Cell_214,3.7415,0.3247
Cell_215,4.4405,-1.1493
Cell_216,4.6082,0.5617
Cell_217,5.5676,-0.885
Cell_218,3.4594,0.2254
Cell_219,6.3244,-0.3072
Cell_220,6.1525,-1.5307
Cell_221,4.9557,0.8226
Cell_222,4.8397,-1.435
Cell_223,4.0059,-0.6732
Cell_224,5.7507,-1.0761
Cell_225,5.0775,-0.754
Cell_226,-0.0272,-5.0921
Cell_227,-1.1776,-5.0233
Cell_228,-1.5416,-4.2201
Cell_229,0.3824,-5.4792
Cell_230,-0.5513,-5.1282
Cell_231,0.3849,-4.3664
Cell_232,-0.2705,-5.8986
Cell_233,0.5328,-5.0198
Cell_234,1.0066,-4.1253
Cell_235,0.7706,-5.0213
Cell_236,-0.4935,-5.0113
Cell_237,0.8822,-4.8606
Cell_238,0.1333,-4.3624
Cell_239,0.0694,-4.7131
Cell_240,-2.2776,-5.4681
Cell_241,-0.6146,-4.5345
Cell_242,0.1712,-3.3772
Cell_243,0.7406,-3.7189
Cell_244,0.4195,-6.0378
Cell_245,1.4974,-6.2326
Cell_246,1.3118,-6.5317
Cell_247,-0.0308,-5.2329
Cell_248,0.3487,-4.1377
Cell_249,-0.8014,-4.7531
Cell_250,-1.0567,-4.8433
Cell_251,-0.676,-4.1264
Cell_252,-0.9189,-3.9505
Cell_253,-0.4409,-5.4565
Cell_254,0.8051,-4.9776
Cell_255,-1.4963,-4.8239
Cell_256,0.3014,-5.2003
Cell_257,1.2692,-3.2747
Cell_258,1.0769,-4.3921
Cell_259,0.7184,-4.423
Cell_260,-0.6061,-3.5848
Cell_261,-0.6101,-5.6061
Cell_262,-0.5649,-6.6837
Cell_263,0.2582,-4.625
Cell_264,-0.8814,-4.7991
Cell_265,-0.791,-5.6931
Cell_266,0.3116,-6.3949
Cell_267,-0.2922,-5.7299
Cell_268,1.1984,-5.8629
Cell_269,0.6508,-4.5948
Cell_270,0.0881,-4.8589
Cell_271,0.1359,-6.1269
Cell_272,0.876,-5.5308
Cell_273,0.6441,-4.7078
Cell_274,0.4046,-5.1217
Cell_275,-0.4846,-5.7654
Cell_276,0.8573,-5.5851
Cell_277,0.4098,-4.3657
Cell_278,-0.4817,-4.8056
Cell_279,0.1182,-4.0485
Cell_280,0.0896,-4.7035
Cell_281,0.4581,-5.3829
Cell_282,0.742,-4.8531
Cell_283,0.5501,-5.2434
Cell_284,1.1745,-5.3863
Cell_285,0.6797,-4.2493
Cell_286,0.1331,-5.5698
Cell_287,-0.2003,-5.518
Cell_288,1.6803,-6.1356
Cell_289,-0.0984,-5.7238
Cell_290,-0.1483,-4.5471
Cell_291,-0.2156,-5.7021
Cell_292,0.6907,-5.8845
Cell_293,-0.7925,-4.082
Cell_294,-0.623,-5.0468
Cell_295,-1.0889,-5.6707
Cell_296,0.1671,-3.8149
Cell_297,1.9982,-4.79
Cell_298,-0.7528,-5.5761
Cell_299,1.649,-4.6198
Cell_300,0.3868,-4.7217
