,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50
Cell_35,3.1542,4.4001,4.1422,3.5746,4.1728,1.7328,1.4492,0.86,0.9109,1.1941,1.2882,0.6585,0.6448,1.1523,0.4484,1.157,0.4735,1.6345,0.3805,1.5199,0.9348,0.4409,0.6754,0.8664,1.4799,0.7734,1.1842,0.3878,0.2512,0.9697,0.0667,0.6133,1.2537,0.872,1.1024,0.0371,1.5975,1.3344,0.6663,0.6505,1.452,1.1989,0.2331,1.7502,0.7642,0.7005,1.599,0.6095,1.385,0.7948
Cell_36,3.7809,3.7953,4.1364,4.1868,4.2018,2.3099,1.2652,0.5931,1.3359,0.8952,1.7455,0.336,0.1908,1.0336,1.5889,1.0604,0.8003,0,1.216,0.9781,1.0909,1.6828,1.2895,1.2969,0.6117,0.5934,2.5099,0.6406,0,0,0.8253,0.8006,0.8971,0.8487,0.2955,1.6116,1.8013,0.5154,0.4766,1.4764,0.9131,1.7562,0.7384,1.4362,0.7231,1.9995,1.2817,0.5754,0.9064,0.8119
Cell_37,3.1814,3.4845,3.8407,4.7409,4.9115,0.787,1.1089,0.7606,0,0.2982,1.1057,1.3494,1.4391,0.8453,1.1224,0.5444,0.5181,1.5411,0.6266,0.7301,0.6798,0.6677,0.5567,2.0248,0.4752,0.502,1.2372,1.8962,1.8952,1.0429,0.3039,1.3839,1.2414,0.852,2.253,0.0435,0.3945,0.6233,0.3144,0.9284,0.8434,0.9477,2.0976,0.9319,0.7219,0.3272,0.65,0.8008,1.1816,0.7485
Cell_38,4.2509,4.4561,4.9238,3.4093,3.3775,1.0604,0.5937,1.1517,0.5519,0.0754,0.4816,1.2824,0.5573,1.024,0.5025,0.6313,0.9046,1.3168,0.7792,0.8842,1.0905,0.6551,1.8693,0,1.3746,0.2463,0.8715,0.3275,0.6529,0.4328,0.6541,1.0423,1.7683,0.9993,0.6323,0,1.8936,1.0252,0.8887,0,0.9506,0.8056,1.2758,1.4777,1.2981,1.2257,0.7506,1.1836,0.8499,1.681
Cell_39,3.5415,4.684,2.7435,3.9051,3.4299,0.8084,1.3737,1.2628,0.8156,1.4277,1.4223,0.8654,0.8639,1.1302,0.9208,0.391,1.0993,0.9626,1.1746,0.7299,0.115,1.2186,2.216,0,0.8191,1.8968,2.0119,1.2346,0.897,1.3029,1.1907,1.371,1.5221,0.9215,0.1892,0.8832,0.9669,1.5358,0.8391,1.8528,0.7369,1.6896,0.9861,0.3607,0.8519,0.0729,1.1155,0.4583,0.9539,1.9555
Cell_40,3.6247,4.1319,3.603,4.5492,3.7319,2.6203,0.6851,1.4887,0.7027,0.5441,1.1221,1.5428,0,0.7816,1.9028,1.2505,1.3388,0.6957,0.2541,1.25,0.8286,0.49,0,0.2498,0.7141,1.0445,1.2822,1.9247,0.8375,0.7273,1.1537,1.4652,1.8089,0.5466,1.1983,1.2873,1.8919,1.2082,1.2994,1.2119,0,1.0616,0.705,1.3211,0.8019,0.9018,1.5148,1.0304,0.7384,1.6492
Cell_41,2.7783,4.6512,3.3201,3.7607,3.7338,1.1166,0.5324,1.6161,1.4829,0.074,0.8887,0.798,1.1479,0,0.2996,0.642,1.111,0.9246,1.2615,1.4263,1.2727,1.431,0.8976,0.6739,1.0174,0.9246,1.0887,0.6541,1.8203,0.6626,1.2369,0.7978,0.8373,0.9171,0.8127,0.1452,1.465,1.8835,0.5233,0.8119,1.4733,1.6233,1.3991,1.5949,1.2966,1.5525,1.1236,0.6377,1.9248,1.2396
Cell_42,4.4983,4.0942,4.8616,3.7784,4.6868,0,1.1802,0.7002,0.2123,0.8309,1.1077,0.532,0,0.7771,0.9953,0,1.2532,1.1665,0.313,1.3055,1.9024,1.726,0.919,0.8394,1.0796,1.8213,1.3687,0.9236,1.1869,0.4803,1.321,1.4923,1.1163,1.0069,0,0.8448,1.0361,1.059,0.9214,0.9255,0.3385,0.408,0.7442,0.5688,0.4315,1.3146,1.3035,1.908,1.5473,0.9446
Cell_43,4.7155,3.1634,3.7578,5.3874,4.9848,0.6018,0.5554,0.3768,1.232,0.788,1.2463,0.941,1.592,1.3459,0.306,1.8414,0.9094,1.062,0.7851,1.0735,0.4866,0.9336,0.1507,0.4706,0.4902,1.2898,1.6795,0.3273,0.052,1.7543,1.3848,0.7947,0.8487,1.1685,1.3176,1.4453,0.7617,1.32,0.0579,0.3747,0.7224,2.0265,0.592,1.7974,1.7921,0.476,1.3806,1.1979,0.402,1.1432
Cell_44,4.2089,4.2138,3.8256,3.9084,3.3414,1.4423,0.1249,1.2656,2.129,1.3176,1.5739,0.3768,1.0136,1.3902,0.3455,1.5798,0.9001,0.4751,2.3448,1.7866,0.7034,1.3601,0.3397,1.0143,0.8246,1.0487,0.6655,1.3614,0.5232,1.3121,0.4853,1.1509,0.4949,1.1678,0.8649,1.5611,0.8219,1.5192,1.0595,1.7634,0.6372,1.1212,0.8628,0.8358,0.0512,1.3108,0.5997,0.6767,1.1729,1.1744
Cell_45,4.8517,3.5227,4.0553,3.7888,4.806,0.8174,1.5258,1.5392,1.1448,1.6965,0.5903,1.308,1.0165,1.9791,0.6607,1.872,1.7582,1.0128,1.3071,1.7235,0.4528,1.6205,1.1642,1.3872,0.921,0.2382,0.0519,1.3008,0.8193,0.7787,1.0942,0.1223,0.7222,0.5224,1.0618,0.4765,1.1234,2.0396,1.7865,1.077,0.6084,0.4034,0.7823,0.8082,0.8969,0.8629,1.1049,1.625,0.7375,1.927
Cell_46,3.5813,4.2662,4.8551,4.3218,4.3392,0.6424,1.1979,0.62,0.5142,0.3304,1.0902,0.9954,0.591,1.8116,2.1028,1.4339,0.7018,0.3017,1.959,1.0416,1.1014,0.5468,0.5457,0.7368,1.1528,1.5587,0.7269,0.3233,0,0.9103,0.5834,0.786,1.4633,0.7627,0.6094,1.3715,0.5475,1.5833,0.7043,0.9546,2.2828,0.8263,1.3807,0.8699,0.3926,0.5738,1.0068,0.6108,1.1986,0.597
Cell_47,3.1109,4.4981,3.4915,3.866,4.0915,0.6778,0.3559,1.0666,0.7126,1.7547,0.9645,0.9615,1.6094,0.4367,1.3672,1.1526,0.8039,1.2581,0.3733,0.2668,0.536,1.1552,0.592,0.7593,1.8546,0.622,0.8237,1.0591,0.4087,0.5214,1.4258,0.6152,0.2875,1.3652,1.3369,1.2973,0.9811,0.5813,1.3722,1.3908,0.4238,0.6114,1.6923,0.9474,0.8205,1.5597,0.8647,1.8892,0.1061,1.2165
Cell_48,4.1563,4.1008,4.3703,4.6847,3.2256,0.6007,1.0336,1.4044,1.9167,0.9827,0.4869,1.6645,0.3269,1.4253,1.2338,0.8477,1.3109,0.8978,0.8461,0.9364,1.0223,0.8019,0.9052,1.2322,1.1672,1.5801,1.6769,1.6967,1.0285,1.6811,0.8578,1.0266,1.6559,1.1188,0.8277,1.3604,1.2913,1.1418,0.5768,0.421,0.9754,1.6197,0.2347,1.1225,0.1897,0.8121,1.6117,1.5645,1.0252,0.8868
Cell_49,4.662,4.5949,4.928,4.4557,5.0716,1.0366,1.2058,0.3904,1.6954,1.6686,0.797,1.5652,0.7097,0.7656,1.5888,0.9172,1.4059,0.7748,0.9899,0.6154,1.4069,0.9417,1.4099,0.7169,1.6234,0.5541,0.8345,0.8939,0.9847,2.0112,1.0705,1.2193,1.1732,0.9944,0.9714,0.8415,0.5305,0.8814,0.9663,1.5303,1.1724,0.2562,1.7337,1.8671,1.1331,1.341,1.5686,1.0359,0.6852,0.9046
Cell_50,3.661,5.073,4.4773,4.4822,3.1668,1.1939,1.8506,1.1122,0.0575,1.6239,0.5524,0.8816,0.5419,1.1296,1.3356,0.4348,0.6549,1.4894,1.1696,1.5443,0.5627,0.8744,2.5757,1.4373,0.9133,1.379,1.1276,0.2383,1.7062,2.0987,0.4413,1.9066,1.2276,1.147,0.9232,0.7863,0,1.2245,0.696,0.4899,0.6978,1.4492,0.4383,1.0267,0.7557,0.4226,0.3097,1.1,1.2437,0.5931
Cell_51,4.5807,4.5994,2.9785,3.7596,4.2129,1.72,1.442,1.1947,0.2783,1.7969,0.3356,0.6986,0.9541,1.0899,1.3631,0.6969,1.2058,1.5594,1.4894,0.7825,1.2591,0.4979,1.4836,0.6711,0.6599,1.5463,2.1156,2.4145,1.0698,0.7259,0.5474,1.1245,0.2455,1.6052,1.5451,1.4093,1.3902,1.1558,1.2668,2.2186,0.8896,1.0591,0.6781,0.8624,0.4029,0.608,1.1791,0.8667,0.5016,1.6995
Cell_52,3.9068,5.3791,3.8313,3.9558,4.3328,1.3995,0.8596,1.1119,1.1871,0.9013,0.8108,1.3158,1.4034,1.6617,1.1946,2.2282,0.8431,1.4514,1.2314,0,1.3564,0.9575,0.5492,1.8901,1.4724,0.5714,0.8788,0.8195,1.3405,1.8249,1.0997,1.0734,1.9929,1.331,1.1191,0.268,0.9361,0.3526,1.4795,0.7342,1.079,1.3044,0.2672,0.2281,0.7598,1.2618,0.6684,1.2747,0.4404,1.3744
Cell_53,5.3453,4.2729,4.5389,2.9953,3.5526,0.8379,0.7159,0.818,1.3246,0.7106,1.4961,0.6018,0.1445,0.8009,1.323,0.7103,0.7134,0.3499,0.975,2.0164,1.6623,0.4596,1.1998,1.3861,1.0278,0.9474,1.0623,0.1719,0.7052,0.2811,0.6972,0.6261,1.0316,0.9319,0.8358,0.5374,0.8441,0.9238,0.9011,1.0085,0.3511,0.7991,0.7428,1.267,1.9009,0.4255,0.3038,0.4886,0.9414,0.4773
