cell_id,cell_type,cluster
Cell_100,B_cell,2
Cell_101,B_cell,2
Cell_102,B_cell,2
Cell_103,B_cell,2
Cell_104,B_cell,2
Cell_105,B_cell,2
Cell_106,B_cell,2
Cell_107,B_cell,2
Cell_108,B_cell,2
Cell_109,B_cell,2
Cell_110,B_cell,2
Cell_111,B_cell,2
Cell_112,B_cell,2
Cell_113,B_cell,2
Cell_114,B_cell,2
Cell_115,B_cell,2
Cell_116,B_cell,2
Cell_117,B_cell,2
Cell_118,B_cell,2
Cell_119,B_cell,2
Cell_120,B_cell,2
Cell_121,B_cell,2
Cell_122,B_cell,2
Cell_123,B_cell,2
Cell_124,B_cell,2
Cell_125,B_cell,2
Cell_126,B_cell,2
Cell_127,B_cell,2
Cell_128,B_cell,2
Cell_129,B_cell,2
Cell_130,B_cell,2
Cell_131,B_cell,2
Cell_132,B_cell,2
Cell_133,B_cell,2
Cell_134,B_cell,2
Cell_135,B_cell,2
Cell_136,B_cell,2
Cell_137,B_cell,2
Cell_138,B_cell,2
Cell_139,B_cell,2
Cell_140,B_cell,2
Cell_141,B_cell,2
Cell_142,B_cell,2
Cell_143,B_cell,2
Cell_144,B_cell,2
Cell_145,B_cell,2
Cell_146,B_cell,2
Cell_147,B_cell,2
Cell_148,B_cell,2
Cell_149,B_cell,2
Cell_150,B_cell,2
Cell_151,NK_cell,3
Cell_152,NK_cell,3
Cell_153,NK_cell,3
Cell_154,NK_cell,3
Cell_155,NK_cell,3
Cell_156,NK_cell,3
Cell_157,NK_cell,3
Cell_158,NK_cell,3
Cell_159,NK_cell,3
Cell_160,NK_cell,3
Cell_161,NK_cell,3
Cell_162,NK_cell,3
Cell_163,NK_cell,3
Cell_164,NK_cell,3
Cell_165,NK_cell,3
Cell_166,NK_cell,3
Cell_167,NK_cell,3
Cell_168,NK_cell,3
Cell_169,NK_cell,3
Cell_170,NK_cell,3
Cell_171,NK_cell,3
Cell_172,NK_cell,3
Cell_173,NK_cell,3
Cell_174,NK_cell,3
Cell_175,NK_cell,3
Cell_176,NK_cell,3
Cell_177,NK_cell,3
Cell_178,NK_cell,3
Cell_179,NK_cell,3
Cell_180,NK_cell,3
Cell_181,NK_cell,3
Cell_182,NK_cell,3
Cell_183,NK_cell,3
Cell_184,NK_cell,3
Cell_185,NK_cell,3
Cell_186,NK_cell,3
Cell_187,NK_cell,3
Cell_188,NK_cell,3
Cell_189,NK_cell,3
Cell_190,NK_cell,3
Cell_191,NK_cell,3
Cell_192,NK_cell,3
Cell_193,NK_cell,3
Cell_194,NK_cell,3
Cell_195,NK_cell,3
Cell_196,NK_cell,3
Cell_197,NK_cell,3
Cell_198,NK_cell,3
Cell_199,NK_cell,3
Cell_200,NK_cell,3
Cell_201,NK_cell,3
Cell_202,NK_cell,3
Cell_203,NK_cell,3
Cell_204,NK_cell,3
Cell_205,NK_cell,3
Cell_206,NK_cell,3
Cell_207,NK_cell,3
Cell_208,NK_cell,3
Cell_209,NK_cell,3
Cell_210,NK_cell,3
Cell_211,NK_cell,3
Cell_212,NK_cell,3
Cell_213,NK_cell,3
Cell_214,NK_cell,3
Cell_215,NK_cell,3
Cell_216,NK_cell,3
Cell_217,NK_cell,3
Cell_218,NK_cell,3
Cell_219,NK_cell,3
Cell_220,NK_cell,3
Cell_221,NK_cell,3
Cell_222,NK_cell,3
Cell_223,NK_cell,3
Cell_224,NK_cell,3
Cell_225,NK_cell,3
Cell_226,Monocyte,4
Cell_227,Monocyte,4
Cell_228,Monocyte,4
Cell_229,Monocyte,4
Cell_230,Monocyte,4
Cell_231,Monocyte,4
Cell_232,Monocyte,4
Cell_233,Monocyte,4
Cell_234,Monocyte,4
Cell_235,Monocyte,4
Cell_236,Monocyte,4
Cell_237,Monocyte,4
Cell_238,Monocyte,4
Cell_239,Monocyte,4
Cell_240,Monocyte,4
Cell_241,Monocyte,4
Cell_242,Monocyte,4
Cell_243,Monocyte,4
Cell_244,Monocyte,4
Cell_245,Monocyte,4
Cell_246,Monocyte,4
Cell_247,Monocyte,4
Cell_248,Monocyte,4
Cell_249,Monocyte,4
Cell_250,Monocyte,4
Cell_251,Monocyte,4
Cell_252,Monocyte,4
Cell_253,Monocyte,4
Cell_254,Monocyte,4
Cell_255,Monocyte,4
Cell_256,Monocyte,4
Cell_257,Monocyte,4
Cell_258,Monocyte,4
Cell_259,Monocyte,4
Cell_260,Monocyte,4
Cell_261,Monocyte,4
Cell_262,Monocyte,4
Cell_263,Monocyte,4
Cell_264,Monocyte,4
Cell_265,Monocyte,4
Cell_266,Monocyte,4
Cell_267,Monocyte,4
Cell_268,Monocyte,4
Cell_269,Monocyte,4
Cell_270,Monocyte,4
Cell_271,Monocyte,4
Cell_272,Monocyte,4
Cell_273,Monocyte,4
Cell_274,Monocyte,4
Cell_275,Monocyte,4
Cell_276,Monocyte,4
Cell_277,Monocyte,4
Cell_278,Monocyte,4
Cell_279,Monocyte,4
Cell_280,Monocyte,4
Cell_281,Monocyte,4
Cell_282,Monocyte,4
Cell_283,Monocyte,4
Cell_284,Monocyte,4
Cell_285,Monocyte,4
Cell_286,Monocyte,4
Cell_287,Monocyte,4
Cell_288,Monocyte,4
Cell_289,Monocyte,4
Cell_290,Monocyte,4
Cell_291,Monocyte,4
Cell_292,Monocyte,4
Cell_293,Monocyte,4
Cell_294,Monocyte,4
Cell_295,Monocyte,4
Cell_296,Monocyte,4
Cell_297,Monocyte,4
Cell_298,Monocyte,4
Cell_299,Monocyte,4
Cell_300,Monocyte,4
